PatientUserID;UserPW;Name;Age;Ward;InsuranceCompany;InsuranceID;
patBrown;BrownPass123;Emma Brown;45;Cardiology;BlueCross;BC123;
patSmith;SmithPwd456;James Smith;32;Pediatrics;Aetna;AET456;
patGarcia;Garcia123;Sophia Garcia;28;Orthopedics;UnitedHealth;UHC789;
patWilson;WilsonPass789;Oliver Wilson;56;Oncology;Cigna;CIG456;
patLee;LeePwd!;Ava Lee;65;Neurology;Humana;HUM123;
patMartinez;Martinez@123;Noah Martinez;38;Psychiatry;Anthem;ANT789;
patThompson;ThompsonPwd321;Isabella Thompson;22;Gynecology;Kaiser;KAI123;
patClark;Clark456;William Clark;49;Urology;MetLife;MET456;
patLopez;LopezPwd123;Mia Lopez;35;Dermatology;HealthNet;HNT789;
patHill;HillPass!;Ethan Hill;41;Endocrinology;Molina;MOL123;
patAdams;Adams@123;Evelyn Adams;27;ENT;Cigna;CIG789;
patBaker;BakerPwd321;Lucas Baker;60;Pulmonology;BlueCross;BCD123;
patGreen;GreenPass!;Harper Green;50;Rheumatology;Aetna;AET123;
patWhite;White@123;Aria White;29;Hematology;Humana;HUM789;
patEvans;Evans123;Logan Evans;36;Ophthalmology;Anthem;ANT123;
patJohnson;JohnsonPass!;Jack Johnson;55;Nephrology;UnitedHealth;UHC123;
patMiller;Miller@123;Sophie Miller;33;Neonatology;Kaiser;KAI789;
patKing;KingPwd123;Liam King;47;Geriatrics;MetLife;MET789;
patWilson2;Wilson#123;Charlotte Wilson;31;Palliative Care;HealthNet;HNT123;
patHarris;Harris123;Noah Harris;44;Physical Therapy;Molina;MOL789;
